id,feedback,tag,label
138,"Pedal ağlır idi, heç vaxt olmadığı kimi",,technical_support
139,Цепочка какая-то поломанная прокручивается,,technical_support
140,Левый тормоз не держит,Brakes,technical_support
141,çoxx pis bərbat xarabdır velosiped sürmək olmur,,technical_support
142,Oturacağ əyilib,Other,technical_support
143,əyləcin biri isləmir. yerindən goturmur.,,technical_support
144,artiq nec3nci defwdir qosulmur. xahis edirem meseleni hell edin. eseblerimi korlayir artiq,,customer_support
145,Сидение кнопка чтобы закрывать цепь все вышли с строя,Vandalism,technical_support
146,qiymetleri endirin,,other
147,so,,other
148,"Я устал, но полностью доволен поездкой",,other
149,veloispediniz işdəmir arada bir baxln,,technical_support
150,Нажрусь рядом со своим велосипедом и не могу завершить поездку,Other,customer_support
151,genclik metrosunun qarşısında yeni velosiped dayanacağını yaratmanız çox yaxşıdı. Tibb Universiteti ile metro arasında velosiped zolağı yaradılsa çox yaxşı olar. Sentyabrdan etibaren çox ehtiyac yaranacaq ona,,other
152,Сигнал вообще не работает ((,,technical_support
153,öpürəm,,other
154,5 deqiqedir aktiv etmek olmur.,,technical_support
155,make the tiries water resistant at least,,other
156,Сиденье искривлено,Other,technical_support
157,əla skuter idi!,,other
158,parking problem,,customer_support
159,велосипед не ехал. пришлось поменять. верните деньги пожалуйста,,customer_support
160,"максимальная скорость 20 км, и до нее ты сам должен крутить удачный велосипед нового поколение",,other
161,bərbad. elektrik işə düşmədi heç. sadəcə kilidi açıldı,,technical_support
162,ilk bir dəqiqə işləmədi pause edib tezden başlattıq 1 dəqi boş boşuna getdi,,customer_support
163,oturacağı aşağı çökür,,technical_support
164,cena dorogaya,,other
165,rul əyri,,technical_support
166,ela pulu cxa bilme pul elave ele tetbiq isdemesin surduyun yoldan coxunu yeri ve pul ode👍🏼,,customer_support
167,mənlə əlaqə saxlanılsın,,customer_support
168,yoxuşlara cox zeifdi matoru guclendirin,,other
169,yollar düzgün deyil,,other
170,sol pedal,,technical_support
171,"sol tormuz ishlemir,, sagda cox pis",,technical_support
172,Açılmlr sürmək istəyirəm olmur,Pedals,technical_support
173,Sol pedali sıxılmalidi,Pedals,technical_support
174,i did not take it cause it was damaged,,technical_support
175,ilemir bu ne velikdir?set iwlemir,,technical_support
176,Ümumiyyətlə velonu sürmək çox diskomfortdu. Qabaq hissəindən güclü səslər gəlir,Pedals,technical_support
177,Əyridi bir az,Front wheel,technical_support
178,zaryatkasi oldugu halda islemir,,technical_support
179,"bu işləmir durur öz özünə, boşuna 2 addım üçün ödəniş verdim",,customer_support
180,"Simmetrik deyil, azca əyridir",Handlebar,technical_support
181,skuterin ayaqlığı qırıqdır,,technical_support
182,zəncirində nəsə problem var.,,technical_support
183,velo da sukan ya da tekerde zede var. Bir xetle surmek olmur. umumen yaxsidi,,technical_support
184,Pedalın biri yoxdur,Ignition,technical_support
185,Öz şəxsi istifadələri üçün Aparıb harda saxlayıblarsa məhəllələrdə yoxdur .,Other,other
186,don’t have enough parking zone,,other
187,velosipedin zənciri atmışdı baxmadım belə bir şey gözləmirdim pulum boşa getdi,,customer_support
188,ön təkəri əyrilib,,technical_support
189,not stop,Brakes,customer_support
190,"Velosipedin ekranı işləmir, həmçinin yetərincə sürətlənmir",,technical_support
191,один из лучших велосипедов!,,other
192,aparın növbəti üz qarasi,,other
193,ehmed recebliye dayanacag artirin,,other
194,"Əyləclər zəifdir. Bərk olsa da, effektiv deyil. Təhlükə mənbəyidir",,technical_support
195,Motor və arxa taker problemi var ama özünü herden viruses verir,Motor,technical_support
196,Açılmır kiliddən,Other,technical_support
197,Tormoz trosu və ya datcik basilmir deye gecikir anbara getmelidi,Brakes,technical_support
198,All was working,,other
199,Impossible to lock the bicycle and end the ride,Frame,customer_support
200,oturacağı tənzimləyən mexanizm işləmir,,technical_support
201,"telefon velesipedin yanında olq ola uzaqdadı dryir, izləməni düzəldin",,technical_support
202,"controls were a little off, pls inspect",,technical_support
203,Oturacaq boltu sarvat sixmaq olmur anbara,Other,technical_support
204,ötürücüsü xarabdı,,technical_support
205,Arxa təkər bloklanıb,Other,technical_support
206,ilk50,,other
207,Ön əyləc trosu qırığdı,Other,technical_support
208,sizin qurduğunuz program ancaq belə işləyər bundan artıq olanmazdı,,customer_support
209,Velo aktiv olur ekran yanmir sürətlənir velo,Motor,technical_support
210,Oturacaq dəmiri əyridi,Saddle,technical_support
211,perfect !!,,other
212,qabaq tormoz islemir arxa tormozdansa ses gelir,,technical_support
213,sag pedal eyilib,,technical_support
214,передний тормоз очень кромко нажимается,,technical_support
215,"Bərbad, qrup gedişi ilə gedərkən digə elektrovelonun şarjı bitdi. halbu ki, 22 km məsafə qət etmək göstərirdidi",,customer_support
216,əyləc sistemi riskli vəziyyətdədir.,,technical_support
217,parklanma yerleri cox azdir. erazi boyukdur amma geudb qayitmaq lazimdir.,,other
218,Круто! как хорошо что у нас наконец-то появилось что-то качественное,,other
219,Sükan yerində boş dayanıb,,technical_support
220,bahadı qaqa bun biraz ucuzlaşdırın həmişə sürəcəm söZ,,other
221,"1) Электрический мотор слабый, мало даёт силы.2)корзинка спереди шумит много.3)колеса слишком узкие",,technical_support
222,sepdə problem var,,technical_support
223,ужасноооо он не включаеетььсяяя,,technical_support
224,Velo çox problemlidir. Təcili servis lazımdı,Brakes,technical_support
225,Sükan dəmiri silkelenir boşdu,Handlebar,technical_support
226,elektriki işləmir. bərbaddır,,technical_support
227,sep çıxır taxdım amma çox boşd,,technical_support
228,cant stop in sahil,,customer_support
229,Sürətlər qutusu yaxşı işləmir.,Other,technical_support
230,arxadan səs gəlir,,technical_support
231,Süremmedim ama yaxşı idi,,other
232,Rul dönür teker dönmür rulavoy sıxılmalıdı.,Front wheel,technical_support
233,в принципе велик едет хорошо просто руль немного нужно подправить,,technical_support
234,"Pedal əyri bağlnmışdı,şatunun iç rezbası dağılmışdı,qabağ ulduz dəyişdi",Pedals,technical_support
235,rol islemir duzgun terpenir yixila biler adam,,technical_support
236,Lock was problematic,Lose/worn parts,technical_support
237,Baterya bittdi . Klindlendi,Battery,customer_support
238,rulavoya baxish,Other,technical_support
239,süret keçidlerinde problem var idi,,technical_support
240,Dayandırmaq olmur GPS işlemir,Other,customer_support
241,"скорость неисправна, шестеренки тоже неисправны",,technical_support
242,Sol eylec boşdu,Brakes,technical_support
243,Velo aktivləşmir. Kilidi açılmır,Other,technical_support
244,tormuzda problem var,,technical_support
245,pedal və skorisdə xarablıq var,,technical_support
246,ELA,,other
247,Pedalında problem var park ərazisindən uzağda olmuşam sürməy mümkün deyildv və mənim balansımda məbləğ çıxılır tədbir görün,Pedals,customer_support
248,korpusda vibrasiya var,,technical_support
249,skutor işlemir,,technical_support
250,noisy back wheel spoiler,,technical_support
251,no parking at kuklalar,,other
252,сидения высокие😭,,other
253,tormuzu islemir,,technical_support
254,Sidenka sixan uduwub anbara,Other,technical_support
255,velosiped kilidden cixmadi,,technical_support
256,ən yaxşı skuter təcrübəm oldu 👏🏻,,other
257,🔥,,other
258,Не могу сдать велосипед,Other,customer_support
259,arxa krloda sınıq aşkar edildi!!!!!,,technical_support
260,Замок не разблокировался,Other,technical_support
261,"salam, rulavoyda problem var",,technical_support
262,krilda problem var,,technical_support
263,"sükan kökündən problemlidir, oturacağən dərisi kəsici alətlə kəsilib",,technical_support
264,cox mohtesem,,other
265,добавьте пожалуйста больше скутеров,,other
266,more scooters,,other
267,2 əyləcdə işləmirdi,,technical_support
268,Парковка проблема решайте,Vandalism,customer_support
269,çox bahadi,,other
270,iceriseher metrosunun kecidin diger cixisindaki dayanacagin legv olmasi yaxsi olmayib,,other
271,Əlcəyin 2side yoxdur anbara getmelidi,Vandalism,technical_support
272,40deyqe niye 2man 24 qepik cixdi?,,customer_support
273,сиденье не поднимается,,technical_support
274,cirkdi,,technical_support
275,çox pis dhşət pis,,other
276,"последние 3 велосипеда какие-то не такие,у них постоянно что-то сломанно или какой-то звук",,technical_support
277,Mator işə düşmür,Other,technical_support
278,left  brake handle is slightly broken,,technical_support
279,велосипед скрипит при поездке,,technical_support
280,Sınıq krılo,,technical_support
281,qarşımıza şərçi çıxmasa idi əla olardı,,other
282,Dayandırın,Display,customer_support
283,"Qırıdqdır, yellənir",Saddle,technical_support
284,tire too stiff,,technical_support
285,0 амортизатор,,technical_support
286,Anbara getməlidir sıxan yoxdu,Vandalism,technical_support
287,Rulavoy əyri boş\nArxa tormuz səs edir,Other,technical_support
288,təkər plasmas problem,,technical_support
289,suretler qutusu 1e kecmir,,technical_support
290,Skuter söndüyü üçün park yerinə apara bilmirəm,Ignition,customer_support
291,Acmir kilidi,Chain,technical_support
292,Sep xarab olub,Other,technical_support
293,xarabanızı düzəldin,,technical_support
294,telefon tutacaqina baxis z.o,Other,technical_support
295,parkovka yaxshi deyil qiymet cox bahadir,,other
296,Arxa tormuz ilişir qalır,Other,technical_support
297,texniki problemləri çalışdığınız qədər azaldın,,other
298,qabaq eylec islemir,,technical_support
299,elektriki zeyif osleyirdi,,technical_support
300,Bulvarın dəniz qırağı hissəsində də yerlər olsa sürməyə daha yaxşı olar,,other
301,Kilidlənmir velosiped,Kickstand,customer_support
302,dəqiqəsi 0.04 qəpikdən bəs niyə çox yazır ?,,customer_support
303,sideniyası qırılıb az qalır qopacaq,,technical_support
304,Səbət də qırılmışdı.,Other,technical_support
305,Texniki baxış lazımdır ümumi. Ön tormuzlar tutmur. İşığ qırılıb. Şarjı yoxdur,Lose/worn parts,technical_support
306,Velosipedin kilidi açılmadı,Other,technical_support
307,oturacaq sağa-sola burulurdu,,technical_support
308,Velosiped bağlanmır,Other,customer_support
309,telefon akkunlyatoru işləmurdi,,technical_support
310,Arxa tormuz ilişir .dayananda ayrılır,Other,technical_support
311,bu nədəəəə,,other
312,işləmədi kilik açılmadı bunda da,,technical_support
313,"işləmir, sepi atıb",,technical_support
314,zincir çıxıb,,technical_support
315,Не работает правый,Brakes,technical_support
316,too much money,,other
317,bu nedir qardas tormoza vururam oz ozune 0lanir qaz duymesi ilisir,,technical_support
318,Not working i need refund,Battery,customer_support
319,Her sey cox gozel,,other
320,əyləcdə problemi var,,technical_support
321,təşəkkürlır ♥️,,other
322,"əla.  əlavə siqnalda nasazlıq var, sol tutacaq cırlıb, 2ci skorus atır.",,technical_support
323,the bike is kinda flimsy and the roads around my parking zones are horrible. there's no comfortable way to get to parking,,other
324,it was finally the one which worked,,other
325,demir yol vagzali qarsisinda 1 eded yasil velosiped var onuda men goturdum,,other
326,"its not working,  i cannot drive it, the speed is too low",Pedals,technical_support
327,"əyləc problemi , oturacaq əyri",,technical_support
328,замок заел,,technical_support
329,aparin velosiped saxlanilan menteqelerinde stop ede bilmirem,,customer_support
330,Arxa Tormoz sixilmalidi,Other,technical_support
331,Mən velosiped icarəyə götürməmişəm ancaq məndən pul çıxılır,Other,customer_support
332,oturacaq pisdir,,technical_support
333,было тяжеловато ездить на велосипеде,,technical_support
334,"Ekranda 93 yazılıb, işləmir",Other,technical_support
335,"Velosiped sonub, gedishi sonlandira bilmirem, amma statistikanin yaninda olan dayanacaqa kimi apardim, yerde atmadim",Other,customer_support
336,"тормоза плохие, и у меня лишние 3 минуты записали потому что замок не закрывался",,customer_support
337,Parkingi sonlandira bilmirem,Other,customer_support
338,tormoz zeifleyir,,technical_support
339,no chain,,technical_support
340,Qaynaq işi var.,Other,technical_support
341,hərkət etmədi təkərlər blokdadır,,customer_support
342,Oturacağı tənzimləmək mümkün deyil,Saddle,technical_support
343,😊👍,,other
344,hec surmek olmadi.,,technical_support
345,tormoz ve oturacaq xarabdi,,technical_support
346,flame towersin yaxınlığına parking qoyulmalıdır. üzü yoxuş aztv tərəfə qədər əlimdə daşımalı oldum parkingə qoymaq üçün. velosipedin sürətlər qutusunda problem var,,technical_support
347,money is too much,,other
348,süretlendirme problemi,,technical_support
349,Показывает вне зоны,Electrical system,technical_support
350,app de 16 km gosterir amma batareyasi bitdi ve uzun mesafeni el ile getirmeli oldum,,customer_support
351,sonmusdu esebiyem hal hazirdaaaaa qetmirdiiiii,,customer_support
352,dangerous brakes,,technical_support
353,Сиденье поломано,,technical_support
354,tormozlar çox pis işləyir,,technical_support
355,Qaytara bilmirem parkinge. Mecbur qoyub getnmeliyem,Other,customer_support
356,bike didnt move,,technical_support
357,"kilidi açsam belə getmir, ləğv etməkdə olmur",Other,customer_support
358,"Взял велосипед, прошёл на место где могу кататься ,сел и понял что цепь слетевшая",Chain,technical_support
359,velo sürət yığmır,,technical_support
360,i locked the bike but it says its unlocked when i try to end the ride,Chain,customer_support
361,"çox tez sürətlənir , təhlükəlidir",,technical_support
362,əla but wind qoymadı,,other
363,Range sehv gosterdiyine gore yari yolda qalib ve terpede bilmirem,Other,customer_support
364,daha da mükəmməl ola bilərdi,,other
365,it was prefect but we need more bicycle road in Baku streets,,other
366,The bike doesn't move,Brakes,technical_support
367,erazi genisletsez cox yaxsi olar,,other
368,Velo. İşləmir,Lights,technical_support
369,niye oxenis cixdi,,customer_support
370,Velosiped yolları mütləq şəkildə artırılmalıdır,,other
371,worst thing ever i have experienced,,other
372,очень тяжело крутятся педали и мотор практически не работает,,technical_support
373,niye elave pul çıxıldı?,,customer_support
374,it hasn’t started .,,technical_support
375,program açılmırdı,,customer_support
376,qabaq təkərdə problem var,,technical_support
377,Mexaniki nasazlığı var. Pedal iki dövrədə bir (bəzən hər dövrədə) qısa məsafə boş fırlanır,,technical_support
378,velo hərəkət etmir sürət 7ni ötmür,,technical_support
379,Sükan səs edir,,technical_support
380,End ride,Other,customer_support
381,Большая нагрузка для ног в зоне запрета,,other
382,ağ şəhər neptun marketin yaninda parklanma olsa yaxşı olardi,,other
383,əladı amma velosipeddən taktak səs gəlirdi,,technical_support
384,mukemmel,,other
385,sürəti artırmaq olmur,,technical_support
386,Ön Təkər tutulub,Other,technical_support
387,"güya elektriklidi, özüm sūrdūme bütün yolu, motorundami ne xereb var ya sürəti sehv ölçür",Motor,technical_support
388,klitlənmir əziyyət çəkdim,,customer_support
389,The streets are awful,,other
390,zencirden sesler gelir,,technical_support
391,Не газует,Motor,technical_support
392,Rulavoy pis vəziyyətdedi anbara getmelidir,Other,technical_support
393,"на парковочное место невозможно заехать, бордюр слишком высокий",,other
394,трескаться будто бьют,,technical_support
395,İşə düşmür 8 dəqiqə boşa getdi,Ignition,customer_support
396,gfd,,other
397,Rul əyilib \nOturacaq sıxan qırıq anbara,Other,technical_support
398,sükan qırılıb,,technical_support
399,locatuon ishlemir 5 saata park etdim,,customer_support
400,super👍,,other
401,it is damaged :(,,technical_support
402,Anbara getməlidir ötürücü xarabdı,Front wheel,technical_support
403,qırıq,,technical_support
404,Arxa teker terfe bezi detallar qirilib,Other,technical_support
405,Skuterin zaryetkası qurtardı getmir,Other,customer_support
406,hard to relax driving,,other
407,arxa əyləc işləmir heç,,technical_support
408,Acılmır hərəkət etmır,Motor,technical_support
409,lock not work,,technical_support
410,"Velosiped çox ağır gedir, o birləri kimi deyil.",,technical_support
411,Zaryatqası Bitdi,Motor,technical_support
412,30 oşipka verir,Electrical system,technical_support
413,Acar isaresi,Firmware,technical_support
414,Qabaq tormuz blokunda problem var \nAnbara,Other,technical_support
415,it was great experience,,other
416,pedal fırlanmır.,,technical_support
417,села зарядка пришлось нести его до порковки очень тяжело,,customer_support
418,couldnt end ride,Other,customer_support
419,tormuz problem,,technical_support
420,mühərrik işləmir,,technical_support
421,sürətin zorla 15-ə çatır! sürət limitin azaltmısınızsa camaata məlumat verin! pul almağa yaxşısız,,other
422,Düz yanımdadı bitirə bilmirəm deyir uzaqdadı,Saddle,customer_support
423,"10 dəqiqə kilidləməyə vaxr sərf etsim, əngəlli idi",,customer_support
424,Zaryatqasu bitdi qaldiq yolda,Electrical system,customer_support
425,it was a great and smooth ride,,other
426,Getmir ilişirhhnnnnn niyə,Other,technical_support
427,"Vilka boşdu, rul əyridi.",Handlebar,technical_support
428,"Otutacaq kip dayanmır, düşür",,technical_support
429,Krilo qoruyucu qırılıb,Other,technical_support
430,Qiriq var,Saddle,technical_support
431,niye 2.64,,customer_support
432,hec surmedik ve 1.61,,customer_support
433,It’s ugly,,other
434,Çox Bahadır !!!!!!!! costly !!!!,,other
435,Səhfən bağlandı arxa təkər,Rear wheel,technical_support
436,parking stations are not on appropriate lications,,other
437,The electrilal system is out of work,Electrical system,technical_support
438,"тормоза не держат, а также цепь звучит ужасно",,technical_support
439,"problemi yoxdu, azca zınqırovu zəifdi",,technical_support
440,kilide dusur,,customer_support
441,Parking zone ve ride zone artirilsa ela olacaq 🙏,,other
442,çox gözəl çox əla hər şey üçün təşəkkür edirəm,,other
443,cox hundurdu,,other
444,aktivləşmədi istifadə edə bilmədim,,technical_support
445,the bike started to shake and was uncontrollable. i wasted my time and energy.,,technical_support
446,Probkem var gelmisem deyir telfon uzagdadı,Other,customer_support
447,kamera açılmadığı ucun şekılı elave ede bılmırem.,Other,customer_support
448,"Əyləcin biri tamam işləmir, digəri isə çox zəif tutur",,technical_support
449,qabaq səbət götürəndə sınmışdı,Vandalism,technical_support
450,Xahiş edirəm velosipedi söndürün. Mən söndürə bilmədim və getdim. Bildiriş çıxırdı ki telefon uzaqdır nəqliyyatdan amma yanında idi.,Other,customer_support
451,tullanır qabağ təkər,,technical_support
452,bərbad getmir sürət çox zəif,,technical_support
453,"velonun sol tormozu iwlemir, stabil deyil, awir saga sola.",,technical_support
454,"Sol pedal problemli idi onsuz da, heç dayanacağa qədər dözmədi, qırıldı düşdü, qoydum səbətə",Pedals,technical_support
455,dəqiqəsi 4 qəpikdən 30 dəqiqə 1.2 AZN edir niyə 1.6azn çıxdı?,,customer_support
456,sol pedal shatun boşdur,Pedals,technical_support
457,gps səhv göstərir. Baxılsın buna da,Other,technical_support
458,sağ əyləc çoz zəif işləyir,,technical_support
459,təşəkkürlər,,other
460,Что-то трещит при прокрутки педалей,,technical_support
461,"sidenyası xarabdı geri yerine qoydim 49 qep çıxdız,",,customer_support
462,Не могу начать,Ignition,customer_support
463,velosiprəet pisdirrr 👺👺💩💩💩,,other
464,batareyka cixir,,technical_support
465,Ekran söndü hərəkıtdə olanda,Other,technical_support
466,Левый тормоз почти не держит.,Brakes,technical_support
467,Разрядился,Other,technical_support
468,очень дорого на такси дешевле доехал бы,,other
469,Səbəti qırıqdı,Other,technical_support
470,skuter acilmir,,technical_support
471,mutleg qelesidir anbara,Motor,technical_support
472,Педали сломанные,Pedals,technical_support
473,rolu əyri qalıb düzəltdirsəniz gözəl olar,,technical_support
474,pisgunde baxan yoxdur yari uolda qaldi baxan yoxdur,,customer_support
475,"Bircə oturacaq azacıq yerində oynayırdı, qalan hər şey idealdır.",,technical_support
476,natəmiz . üstü kraskalıdır .,,technical_support
477,brakes are terrible und bike handles very poorly the tires are slippery,,technical_support
478,motordan zəif güc alır,,technical_support
479,Sürət ötürücü trosu dibindən qırılıb,Other,technical_support
480,eĺa,,other
481,"velosiped zaryatka dı olduğu halda hərəkət etmədi və biri yox 4 dənəsi hamısının da zaryatka sı var və park zonasını, hərəkət etmədi ama məndən pul çıxdı həmin an mən sizə yazırdım",,customer_support
482,berbat app ve islemeyen velosibetler,,technical_support
483,pedalı qırıqdır,,technical_support
484,"кривой руль, плохое тормоза",,technical_support
485,surət xarab,,technical_support
486,Velosipedlə tidriyir və getmir🥵,Chain,technical_support
487,слишком дорого,,other
488,zibil  kimi  Aparrr  tullaa,,other
489,surende skorusdan ses gelir,,technical_support
490,. 73 qəp yazır ancaq balansdan daha mpx çıxır niyə?,,customer_support
491,ew so hard,,other
492,"ele bil evelo deyil, adi velo kimi guc teleb edir",,other
493,oturacaq boşdu,,technical_support
494,Velosipedi surusu sonlandira bilmirem,Kickstand,customer_support
